date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO
1998,2.7175,3.3306,2.1989,2.7448,3.9948,4.4960,2.4525,3.1799,1.8631,1.4670,1.7925,2.2782,2.4137,2.5651,1.9562,2.7841,3.6999,1.6207,2.9430,2.1605,2.4714,0.4169,2.8497,1.5383,4.7417,3.8543,2.9078
1999,1.8015,2.6424,0.6318,1.5357,2.5471,0.3308,1.9308,2.2977,0.4270,-0.5634,0.8382,1.1717,1.4517,1.8189,1.4255,1.5605,1.6053,0.1799,1.9658,1.7596,1.2096,-0.9518,1.4651,0.2392,4.5298,2.7424,1.7133
2000,3.1070,3.3882,2.1582,3.5169,4.6271,4.1657,2.8251,4.4653,1.9859,1.4614,2.1972,2.6820,2.8236,1.4762,1.3570,3.2024,3.5830,2.2224,3.2768,2.5501,3.2734,0.3479,3.2275,2.2317,5.3318,5.2236,3.8832
2001,2.8817,3.4891,1.9810,2.2221,3.8467,3.9435,2.6406,0.3466,1.8738,0.7368,2.2760,2.3467,3.1472,2.1360,2.3541,2.2185,3.2271,1.7765,2.8971,2.3988,1.0512,0.3845,1.9854,2.0690,3.4271,0.3755,1.8255
2002,0.1354,-0.0257,-1.9322,-0.2187,0.9017,3.3786,0.9409,0.3512,-1.7642,-1.1652,-0.5238,0.7459,-0.4657,-0.6227,-0.1562,-0.1655,0.9064,-0.2434,0.7046,0.3920,-0.2378,-2.3727,0.2054,-0.5768,1.6748,-1.3761,-0.0818
2003,-0.3793,0.2963,-2.3856,-0.0718,-0.3809,0.8147,-0.0656,1.1639,-1.5215,-0.7664,-0.7720,0.2809,-0.6283,-0.0830,-0.1453,-0.2055,-0.5567,0.1103,0.8761,-0.2189,0.3643,-1.4390,0.6401,-0.4233,1.2378,-0.4054,-0.0710
2004,2.0770,2.5613,-0.3781,1.9780,2.1315,3.1841,2.1598,4.3471,-0.2574,0.8012,1.6125,2.4294,1.6669,1.5806,2.1322,1.8587,1.9284,2.0519,3.3308,2.1974,2.4097,0.0384,3.2554,1.9143,4.6340,2.3890,2.3236
2005,3.1254,3.6814,1.0089,2.0481,2.4198,3.4739,3.1278,3.8912,1.5496,1.6921,3.3098,3.0503,3.2663,2.1139,4.9946,2.6149,2.1777,2.6743,4.0025,2.5566,3.2770,2.3911,2.9212,2.6033,5.9510,3.1052,3.1062
2006,4.6375,3.3881,1.7952,2.1696,4.4865,5.8491,2.8116,5.2561,2.9345,1.1368,4.1018,3.3040,4.0593,1.6109,6.5354,3.1334,3.8786,2.9580,4.0038,3.4639,3.7049,3.1405,3.8039,3.8020,7.4619,4.7520,4.0840
2007,4.3752,3.7472,2.3782,2.4726,3.6057,3.8354,3.2358,6.3230,3.0344,1.8470,4.0954,2.9923,3.8333,1.3822,5.2837,2.6924,3.4654,3.0058,3.6115,3.2545,3.4515,2.1690,4.4974,4.0373,5.9742,4.8781,4.0019
2008,4.1260,3.1658,2.3788,2.5690,3.0671,2.5213,3.2345,2.6112,2.4783,1.5226,3.7419,2.7531,3.7115,0.9805,4.6936,1.8004,2.6461,2.8927,2.8181,2.2605,2.1647,1.7523,3.9127,3.7633,4.3872,1.6078,2.4311
2009,-2.9229,-3.0213,-4.0288,-2.3786,-1.3227,-3.1888,-3.1071,-2.0992,-5.0018,-1.4985,-7.0474,-2.4398,-7.7377,-2.7645,-2.2413,-3.6933,-3.7012,-4.4634,0.1800,-3.8407,-2.2744,-2.5225,2.1038,1.5185,0.8011,-1.8587,-2.1036
2010,1.5779,7.8188,4.4926,2.9765,2.7039,3.9828,2.8168,3.2554,2.5002,2.9566,2.7178,5.9697,2.9532,7.3247,6.3307,3.8207,8.9622,2.8987,1.4350,5.2281,2.4531,0.9886,4.6104,3.1476,8.2835,1.7347,3.1567
