Samplingpoint,year,Value,Canton,Name
CH0003R,2014,15.251558073654392,TG,TG_Taenikon_rural
CH0003R,2016,12.342223561643836,TG,TG_Taenikon_rural
CH0003R,2018,11.386715818431913,TG,TG_Taenikon_rural
CH0003R,2019,13.025633150684932,TG,TG_Taenikon_rural
CH0003R,2020,10.930589589041096,TG,TG_Taenikon_rural
CH0003R,2021,9.898494535519125,TG,TG_Taenikon_rural
CH0003R,2022,10.765081643835616,TG,TG_Taenikon_rural
CH0003R,2023,11.957428767123288,TG,TG_Taenikon_rural
CH0003R,2024,9.844514520547946,TG,TG_Taenikon_rural
CH0004R,2014,7.977142857142857,NE,NE_Chaumont_rural
CH0004R,2016,7.277515405777167,NE,NE_Chaumont_rural
CH0004R,2018,6.428438429752066,NE,NE_Chaumont_rural
CH0004R,2019,7.522853994490358,NE,NE_Chaumont_rural
CH0004R,2020,6.510215702479338,NE,NE_Chaumont_rural
CH0004R,2021,6.657392076502733,NE,NE_Chaumont_rural
CH0004R,2022,7.100274301675978,NE,NE_Chaumont_rural
CH0004R,2023,8.495966666666666,NE,NE_Chaumont_rural
CH0004R,2024,7.030088950276243,NE,NE_Chaumont_rural
CH0005R,2014,7.662962962962962,LU,LU_Rigi_rural
CH0005R,2016,7.356002475928473,LU,LU_Rigi_rural
CH0005R,2018,6.406768536251709,LU,LU_Rigi_rural
CH0005R,2019,8.516085123966942,LU,LU_Rigi_rural
CH0005R,2020,6.92398,LU,LU_Rigi_rural
CH0005R,2021,6.893131967213115,LU,LU_Rigi_rural
CH0005R,2022,7.617516712328767,LU,LU_Rigi_rural
CH0005R,2023,8.164551388888889,LU,LU_Rigi_rural
CH0005R,2024,6.959382044198895,LU,LU_Rigi_rural
CH0008A,2014,17.398630136986302,BL,BL_BaselBinningen_suburban
CH0008A,2016,14.38328890410959,BL,BL_BaselBinningen_suburban
CH0008A,2017,13.690007650273225,BL,BL_BaselBinningen_suburban
CH0008A,2018,13.529902754820936,BL,BL_BaselBinningen_suburban
CH0008A,2019,14.339058356164383,BL,BL_BaselBinningen_suburban
CH0008A,2020,12.564013698630136,BL,BL_BaselBinningen_suburban
CH0008A,2021,11.76059480874317,BL,BL_BaselBinningen_suburban
CH0008A,2022,12.35377205479452,BL,BL_BaselBinningen_suburban
CH0008A,2023,14.391921369863013,BL,BL_BaselBinningen_suburban
CH0008A,2024,11.510876098901099,BL,BL_BaselBinningen_suburban
CH0010A,2014,18.617403314917127,ZH,ZH_Zuerich_urban
CH0010A,2016,15.70976904109589,ZH,ZH_Zuerich_urban
CH0010A,2018,14.740453296703295,ZH,ZH_Zuerich_urban
CH0010A,2019,15.849363835616437,ZH,ZH_Zuerich_urban
CH0010A,2020,13.609656712328768,ZH,ZH_Zuerich_urban
CH0010A,2021,12.11129480874317,ZH,ZH_Zuerich_urban
CH0010A,2022,12.920220821917809,ZH,ZH_Zuerich_urban
CH0010A,2023,14.30338109589041,ZH,ZH_Zuerich_urban
CH0010A,2024,12.098688767123287,ZH,ZH_Zuerich_urban
CH0011A,2014,18.106301369863015,TI,TI_Lugano_urban
CH0011A,2016,16.357618767123288,TI,TI_Lugano_urban
CH0011A,2018,17.067997252747254,TI,TI_Lugano_urban
CH0011A,2019,16.90678904109589,TI,TI_Lugano_urban
CH0011A,2020,14.337193131868132,TI,TI_Lugano_urban
CH0011A,2021,15.311387158469946,TI,TI_Lugano_urban
CH0011A,2022,15.907936712328766,TI,TI_Lugano_urban
CH0011A,2023,17.085197534246575,TI,TI_Lugano_urban
CH0011A,2024,13.974940821917809,TI,TI_Lugano_urban
CH0013A,2014,22.243142857142857,ZH,ZH_Zuerich_urban
CH0013A,2016,17.3544825,ZH,ZH_Zuerich_urban
CH0013A,2018,16.021948071625346,ZH,ZH_Zuerich_urban
CH0013A,2019,17.985479889807163,ZH,ZH_Zuerich_urban
CH0013A,2020,15.094037534246574,ZH,ZH_Zuerich_urban
CH0013A,2021,13.929886575342465,ZH,ZH_Zuerich_urban
CH0013A,2022,14.403650688705234,ZH,ZH_Zuerich_urban
CH0013A,2023,15.127398837209302,ZH,ZH_Zuerich_urban
CH0013A,2024,13.052246027397262,ZH,ZH_Zuerich_urban
CH0017A,2014,18.96510989010989,BS,BS_Basel_urban
CH0017A,2016,17.46971572413793,BS,BS_Basel_urban
CH0017A,2018,16.2967801369863,BS,BS_Basel_urban
CH0017A,2019,17.75880301369863,BS,BS_Basel_urban
CH0017A,2020,15.23181270718232,BS,BS_Basel_urban
CH0017A,2021,15.148925210084034,BS,BS_Basel_urban
CH0017A,2022,15.7527498630137,BS,BS_Basel_urban
CH0017A,2023,17.01028543417367,BS,BS_Basel_urban
CH0017A,2024,13.80298794520548,BS,BS_Basel_urban
CH0024A,2014,16.73076923076923,VS,VS_Saxon_rural
CH0024A,2016,15.369266117969822,VS,VS_Saxon_rural
CH0024A,2018,14.491553214774282,VS,VS_Saxon_rural
CH0024A,2019,13.173530136986301,VS,VS_Saxon_rural
CH0024A,2020,11.983022191780822,VS,VS_Saxon_rural
CH0024A,2021,12.615127322404371,VS,VS_Saxon_rural
CH0024A,2022,13.600591780821919,VS,VS_Saxon_rural
CH0024A,2023,14.789143213296398,VS,VS_Saxon_rural
CH0024A,2024,12.883312362637364,VS,VS_Saxon_rural
CH0028A,2014,20.21534090909091,VD,VD_Lausanne_urban
CH0028A,2016,16.72630950413223,VD,VD_Lausanne_urban
CH0028A,2018,16.567716963064296,VD,VD_Lausanne_urban
CH0028A,2019,15.55802876712329,VD,VD_Lausanne_urban
CH0028A,2020,14.315685479452055,VD,VD_Lausanne_urban
CH0028A,2021,13.17229781420765,VD,VD_Lausanne_urban
CH0028A,2022,13.839933518005541,VD,VD_Lausanne_urban
CH0028A,2023,14.920889863013697,VD,VD_Lausanne_urban
CH0028A,2024,12.587379452054796,VD,VD_Lausanne_urban
CH0031A,2014,27.32776203966006,BE,BE_Bern_urban
CH0031A,2016,20.433742561983472,BE,BE_Bern_urban
CH0031A,2018,20.127376689655172,BE,BE_Bern_urban
CH0031A,2019,21.389834159779614,BE,BE_Bern_urban
CH0031A,2020,18.70735506849315,BE,BE_Bern_urban
CH0031A,2021,16.365754098360657,BE,BE_Bern_urban
CH0031A,2022,17.53072931506849,BE,BE_Bern_urban
CH0031A,2023,18.73881114206128,BE,BE_Bern_urban
CH0031A,2024,15.706169696969697,BE,BE_Bern_urban
CH0050A,2014,18.474504249291783,GE,GE_Meyrin_suburban
CH0050A,2016,17.024627671232874,GE,GE_Meyrin_suburban
CH0050A,2018,15.822675623268697,GE,GE_Meyrin_suburban
CH0050A,2019,15.773046280991734,GE,GE_Meyrin_suburban
CH0050A,2020,14.475821643835616,GE,GE_Meyrin_suburban
CH0050A,2021,13.990400546448088,GE,GE_Meyrin_suburban
CH0050A,2022,13.89347808219178,GE,GE_Meyrin_suburban
CH0050A,2023,15.088743131868132,GE,GE_Meyrin_suburban
CH0050A,2024,13.36931397260274,GE,GE_Meyrin_suburban
