date,canton,GDP,Name
1998,BE,2.7448,BE_Bern_urban
1999,BE,1.5357,BE_Bern_urban
2000,BE,3.5169,BE_Bern_urban
2001,BE,2.2221,BE_Bern_urban
2002,BE,-0.2187,BE_Bern_urban
2003,BE,-0.0718,BE_Bern_urban
2004,BE,1.978,BE_Bern_urban
2005,BE,2.0481,BE_Bern_urban
2006,BE,2.1696,BE_Bern_urban
2007,BE,2.4726,BE_Bern_urban
2008,BE,2.569,BE_Bern_urban
2009,BE,-2.3786,BE_Bern_urban
2010,BE,2.9765,BE_Bern_urban
2011,BE,0.9864,BE_Bern_urban
2012,BE,0.1286,BE_Bern_urban
2013,BE,1.4936,BE_Bern_urban
2014,BE,2.0685,BE_Bern_urban
2015,BE,0.0443,BE_Bern_urban
2016,BE,-0.0553,BE_Bern_urban
2017,BE,1.0315,BE_Bern_urban
2018,BE,1.9068,BE_Bern_urban
2019,BE,1.6424,BE_Bern_urban
2020,BE,-2.359,BE_Bern_urban
2021,BE,4.5995,BE_Bern_urban
2022,BE,2.6008,BE_Bern_urban
2023,BE,1.304,BE_Bern_urban
2024,BE,0.8358,BE_Bern_urban
1998,BL,3.9948,BL_BaselBinningen_suburban
1999,BL,2.5471,BL_BaselBinningen_suburban
2000,BL,4.6271,BL_BaselBinningen_suburban
2001,BL,3.8467,BL_BaselBinningen_suburban
2002,BL,0.9017,BL_BaselBinningen_suburban
2003,BL,-0.3809,BL_BaselBinningen_suburban
2004,BL,2.1315,BL_BaselBinningen_suburban
2005,BL,2.4198,BL_BaselBinningen_suburban
2006,BL,4.4865,BL_BaselBinningen_suburban
2007,BL,3.6057,BL_BaselBinningen_suburban
2008,BL,3.0671,BL_BaselBinningen_suburban
2009,BL,-1.3227,BL_BaselBinningen_suburban
2010,BL,2.7039,BL_BaselBinningen_suburban
2011,BL,2.3407,BL_BaselBinningen_suburban
2012,BL,-1.336,BL_BaselBinningen_suburban
2013,BL,1.4872,BL_BaselBinningen_suburban
2014,BL,4.0483,BL_BaselBinningen_suburban
2015,BL,4.7816,BL_BaselBinningen_suburban
2016,BL,1.5498,BL_BaselBinningen_suburban
2017,BL,1.4865,BL_BaselBinningen_suburban
2018,BL,-0.426,BL_BaselBinningen_suburban
2019,BL,0.5328,BL_BaselBinningen_suburban
2020,BL,-0.7904,BL_BaselBinningen_suburban
