year,canton,pop,Name
1981,Zürich,1120815,ZH_Zuerich_urban
1981,Bern / Berne,897242,BE_Bern_urban
1981,Luzern,294421,LU_Rigi_rural
1981,Basel-Stadt,203598,BS_Basel_urban
1981,Basel-Landschaft,232625,BL_BaselBinningen_suburban
1981,Thurgau,182677,TG_Taenikon_rural
1981,Ticino,265588,TI_Lugano_urban
1981,Vaud,522340,VD_Lausanne_urban
1981,Valais / Wallis,217795,VS_Saxon_rural
1981,Neuchâtel,157091,NE_Chaumont_rural
1981,Genève,349562,GE_Meyrin_suburban
1982,Zürich,1123840,ZH_Zuerich_urban
1982,Bern / Berne,900933,BE_Bern_urban
1982,Luzern,296378,LU_Rigi_rural
1982,Basel-Stadt,202121,BS_Basel_urban
1982,Basel-Landschaft,233750,BL_BaselBinningen_suburban
1982,Thurgau,184872,TG_Taenikon_rural
1982,Ticino,268748,TI_Lugano_urban
1982,Vaud,526552,VD_Lausanne_urban
1982,Valais / Wallis,219953,VS_Saxon_rural
1982,Neuchâtel,156803,NE_Chaumont_rural
1982,Genève,352461,GE_Meyrin_suburban
1983,Zürich,1127659,ZH_Zuerich_urban
1983,Bern / Berne,904366,BE_Bern_urban
1983,Luzern,298597,LU_Rigi_rural
1983,Basel-Stadt,201139,BS_Basel_urban
1983,Basel-Landschaft,235002,BL_BaselBinningen_suburban
1983,Thurgau,186557,TG_Taenikon_rural
1983,Ticino,271233,TI_Lugano_urban
1983,Vaud,531413,VD_Lausanne_urban
1983,Valais / Wallis,222668,VS_Saxon_rural
1983,Neuchâtel,156020,NE_Chaumont_rural
1983,Genève,355806,GE_Meyrin_suburban
1984,Zürich,1124690,ZH_Zuerich_urban
1984,Bern / Berne,906016,BE_Bern_urban
1984,Luzern,300237,LU_Rigi_rural
1984,Basel-Stadt,199203,BS_Basel_urban
1984,Basel-Landschaft,235999,BL_BaselBinningen_suburban
1984,Thurgau,187706,TG_Taenikon_rural
1984,Ticino,272178,TI_Lugano_urban
1984,Vaud,535239,VD_Lausanne_urban
1984,Valais / Wallis,225094,VS_Saxon_rural
1984,Neuchâtel,154790,NE_Chaumont_rural
1984,Genève,357752,GE_Meyrin_suburban
1985,Zürich,1126848,ZH_Zuerich_urban
1985,Bern / Berne,907491,BE_Bern_urban
1985,Luzern,302245,LU_Rigi_rural
1985,Basel-Stadt,197470,BS_Basel_urban
1985,Basel-Landschaft,237355,BL_BaselBinningen_suburban
1985,Thurgau,189155,TG_Taenikon_rural
1985,Ticino,273528,TI_Lugano_urban
1985,Vaud,539627,VD_Lausanne_urban
1985,Valais / Wallis,227274,VS_Saxon_rural
1985,Neuchâtel,154719,NE_Chaumont_rural
1985,Genève,360462,GE_Meyrin_suburban
1986,Zürich,1128248,ZH_Zuerich_urban
1986,Bern / Berne,908739,BE_Bern_urban
1986,Luzern,303901,LU_Rigi_rural
1986,Basel-Stadt,195858,BS_Basel_urban
1986,Basel-Landschaft,238970,BL_BaselBinningen_suburban
1986,Thurgau,190699,TG_Taenikon_rural
1986,Ticino,275261,TI_Lugano_urban
1986,Vaud,543667,VD_Lausanne_urban
1986,Valais / Wallis,229470,VS_Saxon_rural
1986,Neuchâtel,154909,NE_Chaumont_rural
1986,Genève,362157,GE_Meyrin_suburban
1987,Zürich,1131484,ZH_Zuerich_urban
1987,Bern / Berne,911206,BE_Bern_urban
1987,Luzern,306132,LU_Rigi_rural
1987,Basel-Stadt,194340,BS_Basel_urban
1987,Basel-Landschaft,239961,BL_BaselBinningen_suburban
1987,Thurgau,192439,TG_Taenikon_rural
1987,Ticino,277220,TI_Lugano_urban
1987,Vaud,550336,VD_Lausanne_urban
1987,Valais / Wallis,232550,VS_Saxon_rural
1987,Neuchâtel,156216,NE_Chaumont_rural
1987,Genève,363550,GE_Meyrin_suburban
1988,Zürich,1136566,ZH_Zuerich_urban
1988,Bern / Berne,914453,BE_Bern_urban
1988,Luzern,308741,LU_Rigi_rural
1988,Basel-Stadt,192559,BS_Basel_urban
1988,Basel-Landschaft,241293,BL_BaselBinningen_suburban
1988,Thurgau,195219,TG_Taenikon_rural
1988,Ticino,278647,TI_Lugano_urban
1988,Vaud,556942,VD_Lausanne_urban
1988,Valais / Wallis,235390,VS_Saxon_rural
1988,Neuchâtel,156943,NE_Chaumont_rural
1988,Genève,365525,GE_Meyrin_suburban
1989,Zürich,1141494,ZH_Zuerich_urban
1989,Bern / Berne,918139,BE_Bern_urban
1989,Luzern,311761,LU_Rigi_rural
1989,Basel-Stadt,190854,BS_Basel_urban
1989,Basel-Landschaft,242453,BL_BaselBinningen_suburban
1989,Thurgau,198371,TG_Taenikon_rural
1989,Ticino,280630,TI_Lugano_urban
1989,Vaud,565181,VD_Lausanne_urban
1989,Valais / Wallis,239048,VS_Saxon_rural
1989,Neuchâtel,157436,NE_Chaumont_rural
1989,Genève,371356,GE_Meyrin_suburban
1990,Zürich,1144899,ZH_Zuerich_urban
1990,Bern / Berne,922825,BE_Bern_urban
1990,Luzern,314837,LU_Rigi_rural
1990,Basel-Stadt,190347,BS_Basel_urban
1990,Basel-Landschaft,243444,BL_BaselBinningen_suburban
1990,Thurgau,201620,TG_Taenikon_rural
1990,Ticino,283023,TI_Lugano_urban
1990,Vaud,571973,VD_Lausanne_urban
1990,Valais / Wallis,243705,VS_Saxon_rural
1990,Neuchâtel,158569,NE_Chaumont_rural
1990,Genève,373019,GE_Meyrin_suburban
1991,Zürich,1143249,ZH_Zuerich_urban
