date,ZH,BE,LU,UR,SZ,OW,NW,GL,ZG,FR,SO,BS,BL,SH,AR,AI,SG,GR,AG,TG,TI,VD,VS,NE,GE,JU
2014,0.93,0.91,0.66,0.65,0.87,0.75,1.04,1.02,0.55,0.97,1.29,0.33,0.45,0.94,1.17,0.61,0.62,1.48,0.45,0.66,0.87,0.84,0.78,0.31,1.03,1.04
2015,3.49,1.49,1.7,0.8,2.3,1.25,1.61,1.18,2.88,0.98,1.45,1.33,2.04,1.78,1.45,2.39,1.53,1.74,2.14,1.45,1.53,1.07,1.16,0.76,1.73,0.96
2016,3.16,2.16,1.83,0.83,2.14,2.18,1.64,1.07,2.72,1.08,1.72,1.52,1.97,1.93,2.31,1.49,1.75,2.39,2.09,1.8,1.69,1.39,1.38,1.09,2.12,1.14
2017,4.24,2.56,2.11,1.53,2.86,3.3,1.99,1.29,3.42,1.59,2.63,2.1,2.94,3.72,3.08,0.62,2.68,2.6,2.92,2.28,1.83,2.36,2.43,1.4,3.02,1.95
2018,4.55,3.15,2.72,1.57,4.15,5.15,2.41,2.02,4.33,2.11,4.26,5.23,4.05,4.0,3.9,0.94,3.38,3.16,3.26,3.64,2.37,2.52,2.24,1.6,3.58,2.16
2019,7.82,5.03,5.65,3.87,6.67,4.7,5.15,3.7,7.09,4.32,6.04,6.47,6.35,6.74,6.3,0.68,6.24,5.57,6.07,7.39,3.84,5.67,4.59,4.33,6.12,4.25
2020,19.06,12.68,14.79,10.66,15.19,16.61,13.36,11.98,17.35,11.37,14.31,15.26,14.64,15.55,13.66,7.01,17.04,13.53,15.35,16.99,10.66,14.3,12.99,12.1,14.72,10.62
2021,26.04,21.1,21.63,21.26,23.08,21.31,20.9,20.44,24.77,21.49,21.9,22.52,23.07,25.5,19.23,8.55,24.8,21.62,25.28,27.58,19.18,22.99,24.49,18.83,23.28,18.95
2022,29.57,23.58,25.53,20.76,26.8,26.55,26.22,25.78,32.03,24.8,25.72,26.78,26.86,26.18,23.36,14.6,29.86,25.41,27.77,29.56,20.07,27.48,29.29,21.4,23.49,24.4
2023,34.28,28.66,33.94,27.23,30.9,28.62,32.25,31.64,35.85,28.18,31.46,32.64,32.28,30.68,34.05,16.65,34.48,32.05,33.07,33.24,22.34,30.31,28.06,24.25,27.61,25.2
