canton,fuel_type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AG,Fossil,288356,296770,302478,306744,313901,320572,327020,334130,342237,352671,362393,371977,380534,388953,396360,403068,409594,417573,424515,427963,440188,451949,463488,473226,482381,489119,496765,503258,510852,516020,523816,531660,533145,536202,539720
AG,Electricity,156,211,224,220,207,213,188,180,194,189,182,166,165,159,159,163,170,169,203,240,292,333,470,566,769,1066,1429,1850,2275,3226,4640,7317,10885,15247,20011
AG,% EV vs Fossil,0.0540997933110461,0.0710988307443475,0.0740549725930481,0.0717210442584044,0.0659443582530798,0.066443731829355,0.0574888386031435,0.0538712477179541,0.0566858638896437,0.0535910239288175,0.0502217206182239,0.0446264150740503,0.0433601202520668,0.0408789750946773,0.040115046927036,0.040439826530511,0.0415045142262826,0.0404719653809035,0.0478192761150961,0.0560796143591853,0.0663352931020382,0.0736808799222921,0.101404998619166,0.119604586392126,0.159417555832423,0.217942872797826,0.287661167755377,0.367604687853944,0.445334460861463,0.625169567071044,0.885807230019702,1.37625550163638,2.04165846064392,2.84351792794507,3.70766323278737
AR,Fossil,27641,29137,29516,30166,30786,31129,27830,31924,32248,33540,34193,34718,35283,35852,36400,36671,36189,36687,37707,38949,37596,38512,39483,40260,41050,41850,42521,43205,43514,43615,43991,44480,44159,44164,44112
AR,Electricity,7,18,18,19,19,18,16,19,22,23,21,21,21,16,15,18,16,17,17,14,16,24,47,63,72,97,130,173,203,273,360,536,778,1069,1355
AR,% EV vs Fossil,0.0253246988169748,0.0617771218725332,0.0609838731535438,0.0629848173440297,0.0617163645813032,0.057823894118025,0.0574919151994251,0.0595163513344192,0.0682212850409328,0.0685748360166965,0.0614160793144796,0.0604873552623999,0.0595187484057478,0.0446279147606828,0.0412087912087912,0.0490851081235854,0.0442123297134488,0.0463379398697086,0.0450844670750789,0.0359444401653444,0.0425577189062666,0.0623182384711259,0.119038573563306,0.156482861400894,0.175395858708892,0.231780167264038,0.305731285717645,0.400416618446939,0.466516523417751,0.625931445603577,0.818349207792503,1.20503597122302,1.7618152584977,2.42052350330586,3.07172651432717
AI,Fossil,7407,7788,7866,8041,8068,8211,7471,8688,8932,9223,9516,9797,10035,10232,10479,10688,10818,11069,11212,11898,11962,12290,12525,12715,12927,13347,13675,13915,14122,14324,14550,14992,14958,15070,15127
AI,Electricity,1,1,2,2,2,1,1,1,0,2,4,4,4,5,5,4,5,6,4,5,6,5,8,16,21,32,44,63,71,88,121,177,284,406,519
AI,% EV vs Fossil,0.0135007425408397,0.0128402670775552,0.0254258835494533,0.0248725282925009,0.0247892910262767,0.0121787845573012,0.0133850890108419,0.0115101289134438,0,0.021684918139434,0.0420344682639765,0.0408288251505563,0.0398604882909816,0.0488663017982799,0.047714476572192,0.0374251497005988,0.0462192641893141,0.0542054386123408,0.0356760613628255,0.0420238695579089,0.0501588363149975,0.0406834825061025,0.063872255489022,0.125835627211954,0.162450684613599,0.239754251891811,0.321755027422304,0.452748832195473,0.502761648491715,0.614353532532812,0.831615120274914,1.18062966915688,1.89864955207916,2.69409422694094,3.4309512791697
BL,Fossil,118985,121334,122595,124312,136110,138743,140851,143910,147874,152058,156057,160049,163547,166374,168337,168957,171250,171475,174772,183108,177449,180097,182320,183062,185047,187062,189283,191129,192543,193779,196045,197927,197710,197932,197943
BL,Electricity,96,127,133,135,126,111,120,114,127,140,135,137,130,137,148,142,142,133,138,156,182,198,255,287,359,475,626,766,997,1441,1942,2962,4445,6019,7818
BL,% EV vs Fossil,0.0806824389628945,0.104669754561788,0.108487295566703,0.108597721861124,0.0925721842627287,0.0800040362396662,0.085196413231003,0.0792161767771524,0.085883928209151,0.0920701311341725,0.0865068532651531,0.0855987853719798,0.0794878536445181,0.0823445971125296,0.0879188770145601,0.084045052883278,0.0829197080291971,0.0775623268698061,0.0789600164786121,0.0851956222557179,0.102564680556103,0.109940754149153,0.139863975427819,0.156777485223585,0.194004766356655,0.253926505650533,0.330721723556791,0.40077643894961,0.517806412074186,0.743630630770104,0.990588895406667,1.49651134003951,2.24824237519599,3.04094335428329,3.94962186083873
BS,Fossil,76323,77510,77896,77691,77701,77957,77809,77710,78189,79268,79578,80898,80972,81989,81966,83471,82272,82307,83356,82044,84084,84908,86089,85448,85828,84969,85717,85785,85684,85122,84162,84445,83238,83046,83430
BS,Electricity,87,105,110,108,105,97,97,97,104,111,115,133,154,136,145,132,123,117,122,115,125,131,143,161,187,222,267,328,416,601,868,1292,1789,2553,3250
BS,% EV vs Fossil,0.113989229983098,0.135466391433363,0.141213926260655,0.139012240800093,0.13513339596659,0.124427569044473,0.124664241925741,0.124823060095226,0.133011037358196,0.140031286269365,0.144512302395134,0.164404558827165,0.190189201205355,0.165875910183073,0.176902618158749,0.158138754777108,0.149504084014002,0.142150728370613,0.146360190028312,0.140168689971235,0.148660862946577,0.154284637489989,0.16610716816318,0.188418687388821,0.217877615696509,0.261271757935247,0.311490136145689,0.382351226904471,0.485504878390365,0.706045440661639,1.03134431215988,1.52998993427675,2.1492587520123,3.07419984105195,3.89548124175956
BE,Fossil,495890,507036,514010,515765,512144,524814,522826,533159,545277,560262,575720,591113,606167,628378,637419,642277,666868,670862,680517,657217,668752,677722,687919,697756,707332,716616,726671,733744,739782,743771,750875,759314,756286,758783,754960
BE,Electricity,353,527,572,567,542,553,551,542,542,576,602,600,607,1117,1111,1027,986,999,979,1134,1763,3283,5138,6457,7521,8337,8758,9050,9507,10619,12184,15709,20578,25731,31827
BE,% EV vs Fossil,0.0711851418661397,0.103937393005625,0.111281881675454,0.109933787674619,0.105829610422069,0.105370664654525,0.105388790917055,0.101658229533779,0.0993990210480178,0.102809042912066,0.104564718960606,0.101503435045414,0.100137420875765,0.177759246822772,0.174296655731944,0.159899856292534,0.147855347684999,0.148912891175831,0.143861211402507,0.172545749729541,0.263625379811948,0.484416914309997,0.746890258882223,0.925395123796857,1.06329135398936,1.16338457416524,1.20522217069348,1.23340020497612,1.285108315693,1.42772439366418,1.62264025303812,2.06884108550613,2.72092832605655,3.39108809765111,4.21572003814772
FR,Fossil,122905,126618,129819,131919,135289,138509,141665,145036,148169,152719,156580,161095,165389,168936,172735,175918,180694,183649,189945,199854,198252,204619,211611,216709,221732,227229,232563,236996,240905,243891,247855,252239,252803,255919,257422
FR,Electricity,9,20,25,26,27,25,23,25,26,24,28,37,32,32,40,37,41,42,54,59,69,103,153,198,268,356,460,582,709,1092,1700,2964,5006,7198,9202
