date,ZH,BE,LU,UR,SZ,OW,NW,GL,ZG,FR,SO,BS,BL,SH,AR,AI,SG,GR,AG,TG,TI,VD,VS,NE,GE,JU
2014,52120,27720,13003,974,5720,1378,1549,1806,5527,11409,8168,3932,7889,2099,1459,16215,14978,6563,23834,8186,18676,31906,10525,6951,14448,3046
2015,55912,29718,14260,1122,6254,1355,1736,1868,6206,12463,8839,3983,8581,2411,1657,17687,15892,6850,25290,9013,20291,34535,11850,7149,16020,3447
2016,53449,28454,13629,1089,6085,1192,1529,1683,6108,11801,8424,4153,8589,2329,1513,22039,15617,6899,25028,9053,19864,31841,11359,6818,15410,2885
2017,54211,28172,14266,1114,5884,1211,1506,1631,6161,11740,8339,3896,8531,2230,1527,19862,14951,6611,24526,8239,19028,33026,11045,6704,15020,2822
2018,51600,26966,12596,1020,5609,1126,1330,1387,5979,11220,8019,3706,8228,2077,1384,22335,14428,6329,23440,7797,17714,30775,10199,6189,13865,2784
2019,53105,27701,12994,1084,5893,1149,1360,1514,6249,11645,7862,3956,8507,2211,1380,22911,15907,6623,24603,8471,18380,32726,10924,6445,14073,2797
2020,40160,21688,10089,854,4569,819,1048,1160,5102,9436,6255,3112,6852,1736,966,14860,11635,5012,18694,6269,14424,24705,8574,4587,11171,2166
2021,40799,21954,10543,903,4723,887,1134,1091,5623,10230,6385,3068,6722,1914,1014,13314,11989,5089,18955,6715,14445,25416,9247,4998,11339,2264
2022,38655,21662,9841,819,4773,806,1167,1024,5785,9782,6193,2898,6345,1879,993,9403,11767,4769,18042,6811,14031,23775,9088,4767,10764,2111
2023,43246,23278,11212,966,5310,982,1321,1119,6114,10577,6879,3208,6985,2044,1069,15390,12814,5314,20389,6973,15857,25642,9617,5159,10652,2393
