year,population,avg_temp,industry_pct_gdp,Electricity,Fossil
1995,7062000,5.2,29.0802309136522,4838.0,4115626.0
1996,7081000,4.63,28.028401196023,4799.0,4167831.0
1997,7096000,5.85,27.286719172282,4858.0,4255487.0
1998,7123537,5.46,26.6490052949271,4922.0,4344285.0
1999,7164000,5.37,26.2813375718488,5104.0,4465623.0
2000,7204000,5.99,25.4681959795745,5188.0,4579530.0
2001,7256000,5.46,26.2442578876909,5194.0,4701367.0
2002,7314000,6.08,26.4339765068788,5307.0,4803609.0
2003,7364000,6.24,26.006421378464,5325.0,4882971.0
2004,7415102,5.4,25.5515101091518,4813.0,4964380.0
2005,7459128,4.99,25.8270742413749,4719.0,5035393.0
2006,7508739,5.95,26.0027931872877,4660.0,5103404.0
2007,7593494,6.06,25.9309450770322,4665.0,5181678.0
2008,7701856,5.61,25.9463011401392,4892.0,5240253.0
2009,7785806,5.8,24.7427872310642,5452.0,5267845.0
2011,7954662,6.62,25.031526472453,9078.0,5471224.0
2012,8039060,5.82,24.603891133013,12570.0,5592758.0
2013,8139631,5.27,24.7022127251447,15322.0,5678320.0
2014,8238000,6.51,24.323915072693,18453.0,5765631.0
2015,8327000,6.67,24.2011258209806,22554.0,5863088.0
2016,8419550,6.07,24.0899792080479,26294.0,5954218.0
2017,8484130,6.19,24.2176943229599,30700.0,6022558.0
2018,8544527,6.88,24.4239571771375,36493.0,6077298.0
2019,8606033,6.5,24.7211591296094,47877.0,6112385.0
2020,8670300,6.87,24.8279156756116,64538.0,6176603.0
2021,8738791,5.64,25.5788564853889,96597.0,6242956.0
2022,8815385,7.42,24.8746674285497,141272.0,6227307.0
2023,8962258,7.25,24.927719758741,191847.0,6253275.0
